Region,Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
North,100012,MANSHA INTERNATIONAL (INDIA),G.T. KARNAL ROAD,,110007,NEW DELHI,DELHI,,
North,200009,AJAY JAISWAL LUBE CENTRE," SAIDPUR POKHRA, ",,233304,SAIDPUR,UTTAR PRADESH,9415385504,
North,200022,BALLIA AUTO AGENCY," RAJDHANI ROAD, JALALPUR",,277001,BALLIA,UTTAR PRADESH,9616361571,
North,200023,BANARAS AUTO AGENCY,"136, AA DILAZAK","136, AA",222002,JAUNPUR,UTTAR PRADESH,9415336443,
North,200025,BATHLA OIL COMPANY,"OPPOSITE AHUJA PETROL PUMP, HAP",,201001,GHAZIABAD,UTTAR PRADESH,8826293961,
North,200032,BENIWAL TRACTOR SPARE PARTS,KAITHAL, ,136027,KAITHAL,HARYANA,9416789062,
North,200050,CHAUDHARY SALES CORPORATION, KARNAL, ,132001,KARNAL,HARYANA,9416288921,kartikshaden123@gmail.com
North,200051,D.S. OIL TRADING COMPANY,"G 8 C PATEL NAGAR III, MEERUT ROAD,",G 8 C,201001,GHAZIABAD,UTTAR PRADESH,9810108283,
North,200080,GOYAL AUTO SPARES, CHANDIGARH, ,160002,CHANDIGARH,CHANDIGARH,9815324837,
North,200093,H.K.S. AUTOMOBILES, FARIDABAD, ,121003,FARIDABAD,HARYANA,9711987955,
North,200103,INDERSONS MOTORS PVT. LTD., MAIN BAWANA ROAD, ,110020,MAIN BAWANA ROAD,DELHI,9650334222,
North,200109,JAIN OIL TRADERS, GURUGRAM, ,122006,GURUGRAM,HARYANA,9811567474,
North,200113,JANSEWAK INDUSTRIAL CORPORATION, HUSSAIN PURA CHOWK, ,143001,AMRITSAR,PUNJAB,0183-2293713,
North,200116,JATIN OIL TRADERS, FARIDABAD, ,121001,FARIDABAD,HARYANA,9810117030,
North,200140,KRISHNA MOTORS, MORADABAD, ,244302,MORADABAD,UTTAR PRADESH,9927043336,
North,200149,LUXMI ENTERPRISES, PARWANOO, ,173220,PARWANOO,HIMACHAL PRADESH,9218533428,
North,200154,MASTER PRITHVIRAJ KUKREJA & CO., ABOHAR, ,152116,ABOHAR,PUNJAB,9517122700,
North,200164,MONGA MOTORS, DISTT : HOSHIARPUR, ,144216,DISTT : HOSHIARPUR,PUNJAB,9999999999,
North,200165,MUKHIJA ENTERPRISES, YAMUNA NAGAR, ,135001,YAMUNA NAGAR,HARYANA,9896032136,
North,200178,P.K. MOTORS, BELAISA, ,276001,AZAMGARH,UTTAR PRADESH,9453126602,
North,200181,P.R. SALES CORPORATION, FAZILKA, ,152123,FAZILKA,PUNJAB,094173-20195,
North,200184,PANKAJ SALES, ALIGARH, ,202001,ALIGARH,UTTAR PRADESH,9927018891,
North,200202,R.SHRI AUTO DEALERS PVT.LTD.,"354 SHAKTI NAGAR,INDIRA NAGAR",354,226016,LUCKNOW,UTTAR PRADESH,9415019950,
North,200213,RELIABLE MOTORS, BIJNOR, ,246701,BIJNOR,UTTAR PRADESH,9837151497,
North,200231,SATGURU AUTOMOBILES PVT.LTD., MIRZAPUR, ,231001,MIRZAPUR,UTTAR PRADESH,9335092780,
North,200234,SATYAM OIL DISTRIBUTORS, NARWANA, ,126116,NARWANA,HARYANA,9416108617,
North,200248,SHRI ADINATH TRADERS, OPP. I B COLLEGE, ,132103,PANIPAT,HARYANA,9812034228,
North,200253,SINGH DISTRIBUTORS, SONEBHADRA, ,231216,ROBERTGANJ,UTTAR PRADESH,9415233019,
North,200266,SURINDER MOTOR STORE, MALOUT, ,152107,MALOUT,PUNJAB,9888960322,
North,200278,UTTAM SALES & SERVICES, LUDHIANA, ,141003,LUDHIANA,PUNJAB,9872341300,gsuttamsale@yahoo.co.in
