Region,Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
East,200365,BAHAN SEVA KENDRA,"NIL MAINAK TOLA, STATION ROAD, MOKA",NIL,803302,PATNA,BIHAR,9955771295,mukesh.prasad@tidewaterindia.co.in
East,200371,GUPTA AUTOMOBILES,"NIL SIWAN ROAD, MIRGANJ",NIL,841438,GOPALGANJ,BIHAR,9431423643,manish.kumar@tidewaterindia.co.in
East,200371,GUPTA AUTOMOBILES,"NIL SIWAN ROAD, MIRGANJ",NIL,841438,GOPALGANJ,BIHAR,9431423643,manish.kumar@tidewaterindia.co.in
East,200378,KISAN AUTOMOBILES,NIL MORIYAGHAT GAYA,NIL,823001,GAYA,BIHAR,9905250923,advmandhata@gmail.com
East,200378,KISAN AUTOMOBILES,NIL MORIYAGHAT GAYA,NIL,823001,GAYA,BIHAR,9905250923,advmandhata@gmail.com
East,200382,KISAN TRACTORS,02 STATION ROAD,2,802101,BUXAR,BIHAR,7870889370,aniruddha@tidewaterindia.co.in
East,200382,KISAN TRACTORS,02 STATION ROAD,2,802101,BUXAR,BIHAR,7870889370,aniruddha@tidewaterindia.co.in
East,200383,LAXMI AUTO CENTRE,NIL ARYA SAMAJ ROAD,NIL,848101,SAMASTIPUR,BIHAR,9234517079,mukesh.prasad@tidewaterindia.co.in
East,200391,NAYAK INDUSTRIES,NIL MAHAVIR CHOWK,NIL,848114,DALSINGSARAI,BIHAR,9431440265,nayakindustries4lub@gmail.com
East,200391,NAYAK INDUSTRIES,NIL MAHAVIR CHOWK,NIL,848114,DALSINGSARAI,BIHAR,9431440265,nayakindustries4lub@gmail.com
East,200393,NANCY ENTERPRISES,1 TILAK CHOWK,1,847212,MADHUBANI,BIHAR,9431643711,shashi.bhushan@tidewaterindia.co.in
East,200393,NANCY ENTERPRISES,1 TILAK CHOWK,1,847212,MADHUBANI,BIHAR,9431643711,shashi.bhushan@tidewaterindia.co.in
East,200394,NEW PRAKASH AUTOMOBILES,"NIL NEAR DILIAN HIGH SCHOOL, NEW DI",NIL,821307,ROHTAS,BIHAR,9431895750,manish.kumar@tidewaterindia.co.in
East,200394,NEW PRAKASH AUTOMOBILES,"NIL NEAR DILIAN HIGH SCHOOL, NEW DI",NIL,821307,ROHTAS,BIHAR,9431895750,manish.kumar@tidewaterindia.co.in
East,200398,PRADEEP TRADERS,NIL GANDHI CHOWK,NIL,811201,MUNGER,BIHAR,9431431821,pradeeptraders35@gmail.com
East,200398,PRADEEP TRADERS,NIL GANDHI CHOWK,NIL,811201,MUNGER,BIHAR,9431431821,pradeeptraders35@gmail.com
East,200400,THE PUNJAB AUTO STORES,NIL MOTIJHEEL,NIL,842001,MUZAFFARPUR,BIHAR,9334024014,shashi.bhushan@tidewaterindia.co.in
East,200400,THE PUNJAB AUTO STORES,NIL MOTIJHEEL,NIL,842001,MUZAFFARPUR,BIHAR,9334024014,shashi.bhushan@tidewaterindia.co.in
East,200403,PANKAJ AUTOMOBILES,"NIL BAULIYA MORE, KHILANGANJ GT ROA",NIL,821115,SASARAM,BIHAR,9431073382,manish.kumar@tidewaterindia.co.in
East,200403,PANKAJ AUTOMOBILES,"NIL BAULIYA MORE, KHILANGANJ GT ROA",NIL,821115,SASARAM,BIHAR,9431073382,manish.kumar@tidewaterindia.co.in
East,200418,VIKRAM FARM MACHINERY,"A/4 JNKT SCHOOL CAMPUS, M.G.ROAD",A/4,851204,KHAGARIA,BIHAR,9334074303,mukesh.prasad@tidewaterindia.co.in
East,200418,VIKRAM FARM MACHINERY,"A/4 JNKT SCHOOL CAMPUS, M.G.ROAD",A/4,851204,KHAGARIA,BIHAR,9334074303,mukesh.prasad@tidewaterindia.co.in
East,200420,VIJAY AUTOMOBILES,NIL J.P CHOWK SIWAN,NIL,841226,SIWAN,BIHAR,9430225376,manish.kumar@tidewaterindia.co.in
East,200424,ASHOKA LUBRICATION,NIL PURAB BAZAR,NIL,852201,SAHARSA,BIHAR,9431288278,gspattanaik@tidewaterindia.co.in
East,200424,ASHOKA LUBRICATION,NIL PURAB BAZAR,NIL,852201,SAHARSA,BIHAR,9431288278,gspattanaik@tidewaterindia.co.in
East,200427,JAGDAMBA AGENCY,"NIL SUBHASH CHOWK, HOSPITAL ROAD, A",NIL,854318,FORBESGANJ,BIHAR,9631171940,manoranjan@tidewaterindia.co.in
East,200427,JAGDAMBA AGENCY,"NIL SUBHASH CHOWK, HOSPITAL ROAD, A",NIL,854318,FORBESGANJ,BIHAR,9631171940,manoranjan@tidewaterindia.co.in
East,200428,JAI MATA DEE AGENCY,NIL BANIA TOLA,NIL,854105,KATIHAR,BIHAR,9431229118,joydeep@tidewaterindia.co.in
East,200428,JAI MATA DEE AGENCY,NIL BANIA TOLA,NIL,854105,KATIHAR,BIHAR,9431229118,joydeep@tidewaterindia.co.in
East,200440,SHAKTI ENTERPRISES,"NIL BAUNSI ROAD, KAZICHAK",NIL,812005,BHAGALPUR,BIHAR,9431257330,opsah@tidewaterindia.co.in
East,200440,SHAKTI ENTERPRISES,"NIL BAUNSI ROAD, KAZICHAK",NIL,812005,BHAGALPUR,BIHAR,9431257330,opsah@tidewaterindia.co.in
East,200441,SHIVAM ENTERPRISES,NIL DEO MARKET,NIL,852201,SAHARSA,BIHAR,9431288290,shivamenterprisesaharsa@gmail.com
East,200441,SHIVAM ENTERPRISES,NIL DEO MARKET,NIL,852201,SAHARSA,BIHAR,9431288290,shivamenterprisesaharsa@gmail.com
East,200492,LAXMI LUBE CENTRE,"BE-006-002 GEETA SADAN, St. Teresa",BE-006-002,845438,BETTIAH,BIHAR,9431252473,shashi.bhushan@tidewaterindia.co.in
East,200492,LAXMI LUBE CENTRE,"BE-006-002 GEETA SADAN, St. Teresa",BE-006-002,845438,BETTIAH,BIHAR,9431252473,shashi.bhushan@tidewaterindia.co.in
