Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
100012,MANSHA INTERNATIONAL (INDIA),NIL G.T. KARNAL ROAD,NIL,110007,NEW DELHI,DELHI,,
200009,AJAY JAISWAL LUBE CENTRE,NIL SAIDPUR POKHRA,NIL,233304,SAIDPUR,UTTAR PRADESH,9415385504,
200022,BALLIA AUTO AGENCY,"NIL RAJDHANI ROAD, JALALPUR",NIL,277001,BALLIA,UTTAR PRADESH,9616361571,
200023,BANARAS AUTO AGENCY,"136, AA DILAZAK","136, AA",222002,JAUNPUR,UTTAR PRADESH,9415336443,
200025,BATHLA OIL COMPANY,"NIL OPPOSITE AHUJA PETROL PUMP, HAP",NIL,201001,GHAZIABAD,UTTAR PRADESH,8826293961,
200032,BENIWAL TRACTOR SPARE PARTS,NIL KAITHAL,NIL,136027,KAITHAL,HARYANA,9416789062,
200050,CHAUDHARY SALES CORPORATION,NIL KARNAL,NIL,132001,KARNAL,HARYANA,9416288921,kartikshaden123@gmail.com
200051,D.S. OIL TRADING COMPANY,"G 8 C PATEL NAGAR III, MEERUT ROAD,",G 8 C,201001,GHAZIABAD,UTTAR PRADESH,9810108283,
200080,GOYAL AUTO SPARES,NIL CHANDIGARH,NIL,160002,CHANDIGARH,CHANDIGARH,9815324837,
200093,H.K.S. AUTOMOBILES,NIL FARIDABAD,NIL,121003,FARIDABAD,HARYANA,9711987955,
200103,INDERSONS MOTORS PVT. LTD.,NIL MAIN BAWANA ROAD,NIL,110020,MAIN BAWANA ROAD,DELHI,9650334222,
200109,JAIN OIL TRADERS,NIL GURUGRAM,NIL,122006,GURUGRAM,HARYANA,9811567474,
200113,JANSEWAK INDUSTRIAL CORPORATION,NIL HUSSAIN PURA CHOWK,NIL,143001,AMRITSAR,PUNJAB,0183-2293713,
200116,JATIN OIL TRADERS,NIL FARIDABAD,NIL,121001,FARIDABAD,HARYANA,9810117030,
200140,KRISHNA MOTORS,NIL MORADABAD,NIL,244302,MORADABAD,UTTAR PRADESH,9927043336,
200149,LUXMI ENTERPRISES,NIL PARWANOO,NIL,173220,PARWANOO,HIMACHAL PRADESH,9218533428,
200154,MASTER PRITHVIRAJ KUKREJA & CO.,NIL ABOHAR,NIL,152116,ABOHAR,PUNJAB,9517122700,
200164,MONGA MOTORS,NIL DISTT : HOSHIARPUR,NIL,144216,DISTT : HOSHIARPUR,PUNJAB,9999999999,
200165,MUKHIJA ENTERPRISES,NIL YAMUNA NAGAR,NIL,135001,YAMUNA NAGAR,HARYANA,9896032136,
200178,P.K. MOTORS,NIL BELAISA,NIL,276001,AZAMGARH,UTTAR PRADESH,9453126602,
200181,P.R. SALES CORPORATION,NIL FAZILKA,NIL,152123,FAZILKA,PUNJAB,094173-20195,
200184,PANKAJ SALES,NIL ALIGARH,NIL,202001,ALIGARH,UTTAR PRADESH,9927018891,
200202,R.SHRI AUTO DEALERS PVT.LTD.,"354 SHAKTI NAGAR,INDIRA NAGAR",354,226016,LUCKNOW,UTTAR PRADESH,9415019950,
200213,RELIABLE MOTORS,NIL BIJNOR,NIL,246701,BIJNOR,UTTAR PRADESH,9837151497,
200231,SATGURU AUTOMOBILES PVT.LTD.,NIL MIRZAPUR,NIL,231001,MIRZAPUR,UTTAR PRADESH,9335092780,
200234,SATYAM OIL DISTRIBUTORS,NIL NARWANA,NIL,126116,NARWANA,HARYANA,9416108617,
200248,SHRI ADINATH TRADERS,NIL OPP. I B COLLEGE,NIL,132103,PANIPAT,HARYANA,9812034228,
200253,SINGH DISTRIBUTORS,NIL SONEBHADRA,NIL,231216,ROBERTGANJ,UTTAR PRADESH,9415233019,
200266,SURINDER MOTOR STORE,NIL MALOUT,NIL,152107,MALOUT,PUNJAB,9888960322,
200278,UTTAM SALES & SERVICES,NIL LUDHIANA,NIL,141003,LUDHIANA,PUNJAB,9872341300,gsuttamsale@yahoo.co.in
200279,V.K. LUBES,"877 KAILASH NAGAR,NAI BASTI,BAKSHIP",877,271801,BAHRAICH,UTTAR PRADESH,9450425823,
200284,VIKAS MACHINERY STORES,"NIL OLD G.T. ROAD, KOSI KALAN,",NIL,281403,DISTT : MATHURA,UTTAR PRADESH,9756708173,
200287,WANI AUTOMOBILES,NIL SRINAGAR,NIL,190001,SRINAGAR,JAMMU AND KASHMIR,9419057432,
200927,AKANKSHA TRADERS,NIL JALAUN,NIL,285001,ORAI,UTTAR PRADESH,9628277111,traders.akansha@gmail.com
201016,MATRO TRADING COMPANY,"198/3 GANESHPUR PURVALAI,DEHRADUN R",198/3,247667,"ROORKEE, HARDWAR",UTTARAKHAND,9837178912,
201079,PAHALWAN BAJAJ ENTERPRISES,"NIL RAM LILA ROAD, SONRAHATI",NIL,210207,CHITRAKOOT,UTTAR PRADESH,9984167024,
201132,MAHALAXMI ELCTRIC & MOTOR PARTS,NIL FAIZABAD,NIL,224001,FAIZABAD,UTTAR PRADESH,9794148732,
201143,SAHIL AUTOMOBILES,"NIL SONIPAT ROAD, ROHTAK",NIL,124001,ROHTAK,HARYANA,9999999999,
201155,DHANKHAR OIL COMPANY,NIL BAHADURGARH,NIL,124507,JHAJJAR,HARYANA,9416846070,
201156,GARIMA ENTERPRISES,NIL VARANASI-221001,NIL,232101,Chandauli,UTTAR PRADESH,9415815894,
201189,RAHUL LUBRICANTS,NIL JHANSI,NIL,284001,JHANSI,UTTAR PRADESH,9415030990,
201232,SHARDA LUBRICANTS,"232/232A SAINANI VIHAR,RAIBAREILLY",232/232A,226025,LUCKNOW,UTTAR PRADESH,9415110119,
201251,SHRI RADHAJI ENTERPRISES,NIL NEAR AMAR UJALA PRESS,NIL,242001,BAREILLY,UTTAR PRADESH,999999999999,
201279,SURI ENTERPRISES,NIL NAWANSHAHR,NIL,144514,NAWANSHAHR,PUNJAB,9855557905,
201321,MOHINDRA ENTERPRISES,NIL SHIMLA,NIL,172001,SHIMLA,HIMACHAL PRADESH,9816656091,
201564,GUPTA AUTO STORE,NIL CHARKHI DADRI,NIL,127306,CHARKHI DADRI,HARYANA,9728686286,
201631,NADDA TRADERS,NIL UNA,NIL,174303,UNA,HIMACHAL PRADESH,9882465779,
201727,ROHIT ENTERPRISES,"183 PARK ROAD , CIVIL LINES",183,273001,GORAKHPUR,UTTAR PRADESH,9936952763,
201800,AS LUBRICANTS,NIL MANDI,NIL,175021,MANDI,HIMACHAL PRADESH,9816641537,nirajmnd@yahoo.com
201822,AGRAWAL AUTO AGENCY,NIL SAMNEGHAT LANKA,NIL,221005,VARANASI,UTTAR PRADESH,9336859419,
201823,ASTHA ENTERPRISES,258 HADIHALL KE SAMANE TAKKARGANJ,258,230001,PRATAPGARH,UTTAR PRADESH,9415350956,
201844,KISAN AUTOMOBILES,NIL DHAMMOUR ROAD AMETHI,NIL,227405,AMETHI,UTTAR PRADESH,9415156217,
201936,SUNDER LAL & SONS,"NIL  BAKARZAI, SHAHJAHANPUR",NIL,242001,SHAHJAHANPUR,UTTAR PRADESH,9044888848,
201965,SHIVA ENTERPRISES,NIL BARNALA,NIL,148108,BARNALA,PUNJAB,9417073652,st92goyal@gmail.com
202025,MODERN OILS,NIL NEW DELHI,NIL,110019,DELHI,DELHI,9818297073,vipinkumar50@live.com
202040,S.S. INDIA CO.,NIL MEERUT,NIL,250002,MEERUT,UTTAR PRADESH,8010382669,vinaypathak1352@gmail.com
202075,SKL UNIVERSAL PRIVATE LIMITED,NIL ADJOINING RADIO STATION,NIL,110028,NEW DELHI,DELHI,9999910148,skl_universal@yahoo.com
202080,GAURI MOTORS,NIL MAHOBA,NIL,210427,MAHOBA,UTTAR PRADESH,9889174558,
202085,DIAMOND TRACTORS,NIL SANDILA,NIL,241204,SANDILA,UTTAR PRADESH,9450385246,
202100,ANINDYA TRACTORS,"NIL STATION ROAD , BARGAON",NIL,271002,GONDA,UTTAR PRADESH,9415022318,
202101,CHAUDHARY MOTORS,NIL BALRAMPUR,NIL,271201,BALRAMPUR,UTTAR PRADESH,9670234900,
202102,RAJESH MACHINERY STORES,NIL SAMPURNA NAGAR ROAD,NIL,262902,LAKHIMPUR,UTTAR PRADESH,9415166020,
202103,BHAGWATI ENTERPRISES,NIL FATEHGARH SAHIB,NIL,140801,FATEHGARH SAHIB,PUNJAB,9814268311,kumargaurav3586@gmail.com
202107,ROHIT TRACTORS,"NIL LAL DIGGI,NEAR PANT STADIUM",NIL,228001,SULTANPUR,UTTAR PRADESH,7800990780,
202152,SHRIRAM OIL AGENCY,"1 NEAR BHANGWA CHUNGI, PURE NARSING",1,230001,PRATAPGARH,UTTAR PRADESH,8765555575,shriramoilagency01@gmail.com
202183,MOVERS NETWORK,NIL SAHARANPUR,NIL,247001,SAHARANPUR,UTTAR PRADESH,9412230808,jollyagencies@gmail.com
202184,INDO TRADING CO.,NIL DELHI,NIL,110006,DELHI,DELHI,011-23976009,indotradingco@ymail.com
202189,VARMA AUTOMOBILES PVT. LTD.,NIL AMBEDKAR NAGAR,NIL,224122,AMBEDKAR NAGAR,UTTAR PRADESH,9415048189,varma.automobiles@gmail.com
202203,GOYAL LUBRICANTS,NIL HISAR,NIL,125001,HISAR,HARYANA,8950695695,pankajgoel84@yahoo.com
202220,SACHIN AUTO TRADERS,"NIL STATION ROAD,LAKIMPUR",NIL,262701,LAKHIMPUR KHERI,UTTAR PRADESH,9452020421,sachinagarwal101@yahoo.com
202225,NEW MOGA AUTOMOBILES,NIL GURDASPUR,NIL,143521,GURDASPUR,PUNJAB,9814420166,harjit485@rediffmail.com
202227,SINGH AUTO AGENCY,"NIL DOSTPUR ROAD,SHAHJADPUR",NIL,224122,AMBEDKAR NAGAR,UTTAR PRADESH,,
202235,RAJESHWARI ENTERPRISES,NIL PATIALA,NIL,147001,PATIALA,PUNJAB,9888431706,neelkanthsales69@gmail.com
202247,BABA MOTORS,NIL HARYANA,NIL,123001,HARYANA,HARYANA,9416149639,maheshkumar57457@gmail.com
