Category,Make,Model,Right Oil
Industrial Lubricants,Power Transmission,EXTRA HEAVY DUTY HYDRAULIC OILS,EXTRA HEAVY DUTY HYDRAULIC OILS-VEEDOL ATRANSOL 46
Industrial Lubricants,Lubricating,INDUSTRIAL GEAR OIL,"GEAR OILS-VEEDOL APPRESLUBE 46, GEAR OILS-VEEDOL APPRESLUBE 68, VEEDOL APPRESLUBE 100, VEEDOL APPRESLUBE 150, VEEDOL APPRESLUBE 220, VEEDOL APPRESLUBE 320, VEEDOL APPRESLUBE 460, and VEEDOL APPRESLUBE 6"
Tractors,Escorts,FARMTRAC 60 (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC 60 (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC 6045 (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC 6050 (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC 6050 (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC 6055 (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,"FARMTRAC 6055 (SUPERMAXX), FARMTRAC 6055 (ULTRAMAXX), 6-FARMTRAC 6045(LOADMAXX)",HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,"FARMTRAC 6065, FARMTRAC 6066 6.8",HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC CHAMPION (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC CHAMPION (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,FARMTRAC HERO XP (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,POWERTRAC 439 (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,POWERTRAC 439 (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,POWERTRAC 439 DS PLUS (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,POWERTRAC 439 DS PLUS EURO (LOADMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
Tractors,Escorts,POWERTRAC 439 DS PLUS EURO (SUPERMAXX),HDB PRIMA PRO 15W-40 CI-4 and PRIMA SHAKTI 15W-40 CI-4 PLUS
