Region,Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
North,100012,MANSHA INTERNATIONAL (INDIA),MANSHA INTERNATIONAL (INDIA),,110007,NEW DELHI,DELHI,,
North,200009,AJAY JAISWAL LUBE CENTRE,AJAY JAISWAL LUBE CENTRE,,233304,SAIDPUR,UTTAR PRADESH,9415385504,
North,200022,BALLIA AUTO AGENCY,BALLIA AUTO AGENCY,,277001,BALLIA,UTTAR PRADESH,9616361571,
North,200023,BANARAS AUTO AGENCY,BANARAS AUTO AGENCY,"136, AA",222002,JAUNPUR,UTTAR PRADESH,9415336443,
North,200025,BATHLA OIL COMPANY,BATHLA OIL COMPANY,,201001,GHAZIABAD,UTTAR PRADESH,8826293961,
North,200032,BENIWAL TRACTOR SPARE PARTS,BENIWAL TRACTOR SPARE PARTS, ,136027,KAITHAL,HARYANA,9416789062,
North,200050,CHAUDHARY SALES CORPORATION,CHAUDHARY SALES CORPORATION, ,132001,KARNAL,HARYANA,9416288921,kartikshaden123@gmail.com
North,200051,D.S. OIL TRADING COMPANY,D.S. OIL TRADING COMPANY,G 8 C,201001,GHAZIABAD,UTTAR PRADESH,9810108283,
North,200080,GOYAL AUTO SPARES,GOYAL AUTO SPARES, ,160002,CHANDIGARH,CHANDIGARH,9815324837,
North,200093,H.K.S. AUTOMOBILES,H.K.S. AUTOMOBILES, ,121003,FARIDABAD,HARYANA,9711987955,
North,200103,INDERSONS MOTORS PVT. LTD.,INDERSONS MOTORS PVT. LTD., ,110020,MAIN BAWANA ROAD,DELHI,9650334222,
North,200109,JAIN OIL TRADERS,JAIN OIL TRADERS, ,122006,GURUGRAM,HARYANA,9811567474,
North,200113,JANSEWAK INDUSTRIAL CORPORATION,JANSEWAK INDUSTRIAL CORPORATION, ,143001,AMRITSAR,PUNJAB,0183-2293713,
North,200116,JATIN OIL TRADERS,JATIN OIL TRADERS, ,121001,FARIDABAD,HARYANA,9810117030,
North,200140,KRISHNA MOTORS,KRISHNA MOTORS, ,244302,MORADABAD,UTTAR PRADESH,9927043336,
North,200149,LUXMI ENTERPRISES,LUXMI ENTERPRISES, ,173220,PARWANOO,HIMACHAL PRADESH,9218533428,
North,200154,MASTER PRITHVIRAJ KUKREJA & CO.,MASTER PRITHVIRAJ KUKREJA & CO., ,152116,ABOHAR,PUNJAB,9517122700,
North,200164,MONGA MOTORS,MONGA MOTORS, ,144216,DISTT : HOSHIARPUR,PUNJAB,9999999999,
North,200165,MUKHIJA ENTERPRISES,MUKHIJA ENTERPRISES, ,135001,YAMUNA NAGAR,HARYANA,9896032136,
North,200178,P.K. MOTORS,P.K. MOTORS, ,276001,AZAMGARH,UTTAR PRADESH,9453126602,
North,200181,P.R. SALES CORPORATION,P.R. SALES CORPORATION, ,152123,FAZILKA,PUNJAB,094173-20195,
North,200184,PANKAJ SALES,PANKAJ SALES, ,202001,ALIGARH,UTTAR PRADESH,9927018891,
North,200202,R.SHRI AUTO DEALERS PVT.LTD.,R.SHRI AUTO DEALERS PVT.LTD.,354,226016,LUCKNOW,UTTAR PRADESH,9415019950,
North,200213,RELIABLE MOTORS,RELIABLE MOTORS, ,246701,BIJNOR,UTTAR PRADESH,9837151497,
North,200231,SATGURU AUTOMOBILES PVT.LTD.,SATGURU AUTOMOBILES PVT.LTD., ,231001,MIRZAPUR,UTTAR PRADESH,9335092780,
North,200234,SATYAM OIL DISTRIBUTORS,SATYAM OIL DISTRIBUTORS, ,126116,NARWANA,HARYANA,9416108617,
North,200248,SHRI ADINATH TRADERS,SHRI ADINATH TRADERS, ,132103,PANIPAT,HARYANA,9812034228,
North,200253,SINGH DISTRIBUTORS,SINGH DISTRIBUTORS, ,231216,ROBERTGANJ,UTTAR PRADESH,9415233019,
North,200266,SURINDER MOTOR STORE,SURINDER MOTOR STORE, ,152107,MALOUT,PUNJAB,9888960322,
North,200278,UTTAM SALES & SERVICES,UTTAM SALES & SERVICES, ,141003,LUDHIANA,PUNJAB,9872341300,gsuttamsale@yahoo.co.in
North,200279,V.K. LUBES,V.K. LUBES,877,271801,BAHRAICH,UTTAR PRADESH,9450425823,
North,200284,VIKAS MACHINERY STORES,VIKAS MACHINERY STORES, ,281403,DISTT : MATHURA,UTTAR PRADESH,9756708173,
North,200287,WANI AUTOMOBILES,WANI AUTOMOBILES, ,190001,SRINAGAR,JAMMU AND KASHMIR,9419057432,
North,200927,AKANKSHA TRADERS,AKANKSHA TRADERS, ,285001,ORAI,UTTAR PRADESH,9628277111,traders.akansha@gmail.com
North,201016,MATRO TRADING COMPANY,MATRO TRADING COMPANY,198/3,247667,"ROORKEE, HARDWAR",UTTARAKHAND,9837178912,
North,201079,PAHALWAN BAJAJ ENTERPRISES,PAHALWAN BAJAJ ENTERPRISES, ,210207,CHITRAKOOT,UTTAR PRADESH,9984167024,
North,201132,MAHALAXMI ELCTRIC & MOTOR PARTS,MAHALAXMI ELCTRIC & MOTOR PARTS, ,224001,FAIZABAD,UTTAR PRADESH,9794148732,
North,201143,SAHIL AUTOMOBILES,SAHIL AUTOMOBILES, ,124001,ROHTAK,HARYANA,9999999999,
North,201155,DHANKHAR OIL COMPANY,DHANKHAR OIL COMPANY, ,124507,JHAJJAR,HARYANA,9416846070,
North,201156,GARIMA ENTERPRISES,GARIMA ENTERPRISES,,232101,Chandauli,UTTAR PRADESH,9415815894,
North,201189,RAHUL LUBRICANTS,RAHUL LUBRICANTS, ,284001,JHANSI,UTTAR PRADESH,9415030990,
North,201232,SHARDA LUBRICANTS,SHARDA LUBRICANTS,232/232A,226025,LUCKNOW,UTTAR PRADESH,9415110119,
North,201251,SHRI RADHAJI ENTERPRISES,SHRI RADHAJI ENTERPRISES, ,242001,BAREILLY,UTTAR PRADESH,999999999999,
North,201279,SURI ENTERPRISES,SURI ENTERPRISES, ,144514,NAWANSHAHR,PUNJAB,9855557905,
North,201321,MOHINDRA ENTERPRISES,MOHINDRA ENTERPRISES, ,172001,SHIMLA,HIMACHAL PRADESH,9816656091,
North,201564,GUPTA AUTO STORE,GUPTA AUTO STORE, ,127306,CHARKHI DADRI,HARYANA,9728686286,
North,201631,NADDA TRADERS,NADDA TRADERS, ,174303,UNA,HIMACHAL PRADESH,9882465779,
North,201727,ROHIT ENTERPRISES,ROHIT ENTERPRISES,183,273001,GORAKHPUR,UTTAR PRADESH,9936952763,
North,201800,AS LUBRICANTS,AS LUBRICANTS, ,175021,MANDI,HIMACHAL PRADESH,9816641537,nirajmnd@yahoo.com
North,201822,AGRAWAL AUTO AGENCY,AGRAWAL AUTO AGENCY, ,221005,VARANASI,UTTAR PRADESH,9336859419,
North,201823,ASTHA ENTERPRISES,ASTHA ENTERPRISES,258,230001,PRATAPGARH,UTTAR PRADESH,9415350956,
North,201844,KISAN AUTOMOBILES,KISAN AUTOMOBILES, ,227405,AMETHI,UTTAR PRADESH,9415156217,
North,201936,SUNDER LAL & SONS,SUNDER LAL & SONS, ,242001,SHAHJAHANPUR,UTTAR PRADESH,9044888848,
North,201965,SHIVA ENTERPRISES,SHIVA ENTERPRISES, ,148108,BARNALA,PUNJAB,9417073652,st92goyal@gmail.com
North,202025,MODERN OILS,MODERN OILS, ,110019,DELHI,DELHI,9818297073,vipinkumar50@live.com
North,202040,S.S. INDIA CO.,S.S. INDIA CO., ,250002,MEERUT,UTTAR PRADESH,8010382669,vinaypathak1352@gmail.com
North,202075,SKL UNIVERSAL PRIVATE LIMITED,SKL UNIVERSAL PRIVATE LIMITED, ,110028,NEW DELHI,DELHI,9999910148,skl_universal@yahoo.com
North,202080,GAURI MOTORS,GAURI MOTORS, ,210427,MAHOBA,UTTAR PRADESH,9889174558,
North,202085,DIAMOND TRACTORS,DIAMOND TRACTORS, ,241204,SANDILA,UTTAR PRADESH,9450385246,
North,202100,ANINDYA TRACTORS,ANINDYA TRACTORS, ,271002,GONDA,UTTAR PRADESH,9415022318,
North,202101,CHAUDHARY MOTORS,CHAUDHARY MOTORS, ,271201,BALRAMPUR,UTTAR PRADESH,9670234900,
North,202102,RAJESH MACHINERY STORES,RAJESH MACHINERY STORES, ,262902,LAKHIMPUR,UTTAR PRADESH,9415166020,
North,202103,BHAGWATI ENTERPRISES,BHAGWATI ENTERPRISES, ,140801,FATEHGARH SAHIB,PUNJAB,9814268311,kumargaurav3586@gmail.com
North,202107,ROHIT TRACTORS,ROHIT TRACTORS, ,228001,SULTANPUR,UTTAR PRADESH,7800990780,
North,202152,SHRIRAM OIL AGENCY,SHRIRAM OIL AGENCY,1,230001,PRATAPGARH,UTTAR PRADESH,8765555575,shriramoilagency01@gmail.com
North,202183,MOVERS NETWORK,MOVERS NETWORK, ,247001,SAHARANPUR,UTTAR PRADESH,9412230808,jollyagencies@gmail.com
North,202184,INDO TRADING CO.,INDO TRADING CO., ,110006,DELHI,DELHI,011-23976009,indotradingco@ymail.com
North,202189,VARMA AUTOMOBILES PVT. LTD.,VARMA AUTOMOBILES PVT. LTD., ,224122,AMBEDKAR NAGAR,UTTAR PRADESH,9415048189,varma.automobiles@gmail.com
North,202203,GOYAL LUBRICANTS,GOYAL LUBRICANTS, ,125001,HISAR,HARYANA,8950695695,pankajgoel84@yahoo.com
North,202220,SACHIN AUTO TRADERS,SACHIN AUTO TRADERS, ,262701,LAKHIMPUR KHERI,UTTAR PRADESH,9452020421,sachinagarwal101@yahoo.com
North,202225,NEW MOGA AUTOMOBILES,NEW MOGA AUTOMOBILES, ,143521,GURDASPUR,PUNJAB,9814420166,harjit485@rediffmail.com
North,202227,SINGH AUTO AGENCY,SINGH AUTO AGENCY, ,224122,AMBEDKAR NAGAR,UTTAR PRADESH,,
North,202235,RAJESHWARI ENTERPRISES,RAJESHWARI ENTERPRISES, ,147001,PATIALA,PUNJAB,9888431706,neelkanthsales69@gmail.com
North,202247,BABA MOTORS,BABA MOTORS, ,123001,HARYANA,HARYANA,9416149639,maheshkumar57457@gmail.com
North,202297,LITTLE BROTHERS,LITTLE BROTHERS, ,211001,ALLAHABAD,UTTAR PRADESH,9335112924,lit_anu@rediffmail.com
North,202322,VASUNDHARA TRADERS,VASUNDHARA TRADERS, ,272125,SANTKABIR NAGAR,UTTAR PRADESH,9919078999,
North,202333,SUPAR TATA MACHINERY STORE,SUPAR TATA MACHINERY STORE, ,207123,"KASGANJ,KANSHIRAMNAGAR",UTTAR PRADESH,,
North,202335,BHAGWATI TRADERS,BHAGWATI TRADERS, ,203001,BULANDSHAR,UTTAR PRADESH,,
North,202336,SUPAR TATA MACHINERY STORE,SUPAR TATA MACHINERY STORE, ,205265,MAINPURI,UTTAR PRADESH,7454887830,sanchitjain121@gmail.com
North,202337,NEW TRIVEDI AUTO SPARE PARTS,NEW TRIVEDI AUTO SPARE PARTS, ,241001,HARDOI,UTTAR PRADESH,9648777739,
North,202339,HARIOM TRADERS,HARIOM TRADERS, ,207001,ETAH,UTTAR PRADESH,7830767252,hariomtraders676@gmail.com
North,202340,ARYA LUBRICANTS,ARYA LUBRICANTS, ,207247,ETAH,UTTAR PRADESH,9411015080,aryalubricants72@gmail.com
North,202343,SAUBHAGYA AUTOMOBILES,SAUBHAGYA AUTOMOBILES, ,228001,SULTANPUR,UTTAR PRADESH,9451136388,
North,202351,RAJIV MOTORS,RAJIV MOTORS, ,160101,CHANDIGARH,CHANDIGARH,9814735750,rajeevmotor24@gmail.com
North,202354,KANCHAN AUTOMOBILES,KANCHAN AUTOMOBILES, ,212601,FATEHPUR,UTTAR PRADESH,9838075151,
North,202355,VARMA SALES,VARMA SALES, ,224001,FAIZABAD,UTTAR PRADESH,,
North,202356,SHARMA ENTERPRISES,SHARMA ENTERPRISES, ,184102,KATHUA,JAMMU AND KASHMIR,9797360876,arunsharma.cs@hotmail.com
North,202367,RAVI TRADERS,RAVI TRADERS, ,272001,BASTI,UTTAR PRADESH,9839977555,ravitraders.lku@gmail.com
North,202374,TANVI ENTERPRISES,TANVI ENTERPRISES, ,177020,THEHSIL AND DISTT. HARMIRPUR,HIMACHAL PRADESH,9459451476,honeykhanna.76@gmail.com
North,202381,GLOBAL ENTERPRISES,GLOBAL ENTERPRISES,Shop No.5,249408,HARIDWAR,UTTARAKHAND,8475009603,globalenter99@gmail.com
North,202382,PARAS DISTRIBUTORS,PARAS DISTRIBUTORS,20/14,248001,DEHRADUN,UTTARAKHAND,9412055568,anmoljain61846@gmail.com
North,202384,SATKAR ENTERPRISES,SATKAR ENTERPRISES, ,263153,"RUDRAPUR, UDHAM SINGH NAGAR",UTTARAKHAND,7017575469,satkarenterprises2018@gmail.com
North,202390,BABA MOTORS,BABA MOTORS,70-B,249201,RISHIKESH,UTTARAKHAND,9837229211,
North,202394,SACH OIL COMPANY,SACH OIL COMPANY, ,152101,MUKTSAR,PUNJAB,9478122789,
North,202397,D.D. LUBES AGENCIES,D.D. LUBES AGENCIES, ,132103,PANIPAT,HARYANA,9896900090,
North,202398,SINGH AGENCIES,SINGH AGENCIES, ,261001,SITAPUR,UTTAR PRADESH,05862-244640,
North,202400,GYAN TRACTORS,GYAN TRACTORS, ,261203,SITAPUR,UTTAR PRADESH,9415053430,rajesh.jain.rj95@gmail.com
North,202403,BHAGWATI ENTERPRISES,BHAGWATI ENTERPRISES, ,177203,UNA,HIMACHAL PRADESH,7018450233,pawankashyap72@gmail.com
North,202405,MODERN DIESELS,MODERN DIESELS, ,246149,KOTDWAR,UTTARAKHAND,9634845490,
North,202412,SHRIKUL MOTORS,SHRIKUL MOTORS, ,181133,SAMBA,JAMMU AND KASHMIR,9086312333,shrikul.motors@gmail.com
North,202431,ORA INNOVATIONS PRIVATE LIMITED,ORA INNOVATIONS PRIVATE LIMITED, ,201010,GHAZIABAD,UTTAR PRADESH,9811211534,rajeev@orainnovation.in
North,202450,S. R. LUBRICANTS AND AUTOMOTIVES,S. R. LUBRICANTS AND AUTOMOTIVES, ,144012,PUNJAB,PUNJAB,7889257542,
North,202459,GENUINE AUTO PARTS,GENUINE AUTO PARTS, ,125055,SIRSA,HARYANA,9254705031,
