Region,Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
South,100017,DELTA LUBRICANTS,"D.NO.8-239 ASHOK NAGAR, BUNDER ROAD",D.NO.8-239,520007,VIJAYAWADA,ANDHRA PRADESH,9866309682,
South,100018,GOKUL & CO.,"PLOT NO.3 PHASE II, AUTONAGAR",PLOT NO.3,524004,NELLORE,ANDHRA PRADESH,8096540223,gokulco@yahoo.co.in
South,100019,MACHINES INDIA,"14/6  BIRDS ROAD, CANTONMENT,",44361,612001,TIRUCHIRAPALLI,TAMIL NADU,9442608465,
South,100020,MASCOT AUTOMOBILES,"7/15 A, MKN BHAVAN A.G. ROAD CALICU","7/15 A,",673001,CALICUT,KERALA,9895115757,
South,100021,PADAKI INDUSTRIAL GASES,"C54 YADAVAGIRI INDUSTRIAL ESTATE,",C54,570020,MYSORE,KARNATAKA,9845117332,
South,100022,PONDY LUBRICANTS,"287 KAMARAJSALAI, PILLAITHOTAM",287,605013,PONDICHERRY,PONDICHERRY,9843044797,
South,100024,RUDGE ENTERPRISES,"7B/XVI DR RAJKUMAR ROAD, PATEL NAGA",7B/XVI,583103,BELLARY,KARNATAKA,9880157785,
South,100029,UNIQUE ASSOCIATES,"XI/377 SREEPADAM,OFF.N.H.47, OPP.OU",XI/377,680014,THRISSUR,KERALA,9447495610,
South,100155,APOLLO TRADERS,"23 SARATHY MANSION,",23,632004,VELLORE,TAMIL NADU,9443333101,
South,100157,LOGASSA,"1,7A SHREE GEETHA BHAVAN, BYRANG JU","1,7A",600002,CHENNAI,TAMIL NADU,9790825243,
South,100161,SRI GOPAL AUTOMOTIVE LTD,"Plot No 3  I.D.A, RAMANAYYAPETA",Plot No 3,533005,KAKINADA,ANDHRA PRADESH,8008372525,
South,100162,R S B TRADERS,"17  RANIJI NAGAR, MANDANADAPURAM",17,600125,CHENNAI,TAMIL NADU,,rsbveedol@gmail.com
South,100166,S G J DISTRIBUTORS PRIVATE LIMITED,176B S.G.JAYARAJ NADAR AND SON  BUI,176B,627002,"PALAYAMKOTTAI, Tirunelveli,",TAMIL NADU,,ajit.jayakumar@sgjonline.com
South,100184,CANARA TRADING CORPORATION,"19-6-429/2 ROSARIO CHURCH ROAD, PAN",19-6-429/2,575001,"MANGALORE, DAKSHINA KANNADA",KARNATAKA,,CANARAVEEDOL@gmail.com
South,100185,OM GANESH DISTRIBUTORS,"113  AUTO COMPLEX, 1ST MAIN,",113,577204,"SAGARA ROAD, SHIMOGA",KARNATAKA,,omganeshveedol@gmail.com
South,100186,M K N BUSINESS ASSOCIATES LLP,"M K N BHAVAN, ARAVIND GHOSH ROAD,",,673001,CALICUT,KERALA,9895905081,
South,200289,A.L.LUBRICANTS,B6 IDA KHANAPURAM HAVELI,B6 IDA,507002,KHAMMAM,TELANGANA,9393460077,
South,200290,AMMAN LUBE DISTRIBUTORE,"NO.10 13TH EAST MAIN ROAD,GANDHI NA",NO.10,632006,VELLORE,TAMIL NADU,9443266467,
South,200301,KURNOOL AGENCIES,"PLOT NO. 37 SE, GODOWN NO2",,518003,"INDUSTRIAL ESTATE,KALLUR,KURNOOL",ANDHRA PRADESH,9440192930,krishiagroagencies@rediffmail.com
South,200302,MAG AUTO LUBE,"DOOR NO 87 SHADAKAPPA COMPOUND, P B",DOOR NO 87,577002,DAVANGARE,KARNATAKA,9880566665,
South,200304,PACHIAMMAN AGENCIES,"253 SURAMANGALAM MAIN ROAD,PALLAPAT",253,636009,SALEM,TAMIL NADU,9443326011,
South,200320,SHREE SIDDHALINGESHWAR AGENCY,"NIL CTS NO 1134,BESIDE APMC OFFICE",NIL,586101,", VIJAYPUR",KARNATAKA,9482855466,
South,200322,SRI KRISHNA AUTO & BEARING AGENCIES,"4E KESAVALU STREET,ATTUR TALUK",4E,636102,SALEM,TAMIL NADU,9842740816,
South,200323,SRI MAHALAKSHMI ENTERPRISES,"B - 73, KAKATIYA AUTO NAGAR","B - 73,",506002,WARANGAL,TELANGANA,9393778899,
South,200325,SRI SHARANA DISTRIBUTORS,"NIL CTS No.1372,NEW JEWARGI ROAD, M",NIL,585102,GULBARGA,KARNATAKA,9480149442,
South,201141,SRI LAKSHMI NARASIMHA SWAMY ENTERPR,"H NO 2-6-2/4,OPP HP PETROL PUMP,NAL",,508116,"NEAR: RAM NAGAR,BHONGIR",TELANGANA,9248043543,
South,201147,SHARATH ENTERPRISES,"OLD NO.14/NEW NO.8 ,2ND STREET, NAN",,600035,CHENNAI,TAMIL NADU,9941108089,
South,201157,PANCHASHEEL ENTERPRISES (AILNENI),"8-6-280 HYDERABAD ROAD, KOTHIRAMPUR",8-6-280,505001,KARIMNAGAR,TELANGANA,9963827222,
South,201158,T.STANES AND COMPANY LIMITED,"1597 TRICHY ROAD,",1597,641018,COIMBATORE,TAMIL NADU,918489901076,
