Region,Customer,Trade Name,Street,House No.,PostalCode,City,State,Mobile No,Email ID
West,100035,ANIL TRADERS,"25 25, floor-NEAR KANNAMWAR BRIDGE,",25,422001,NASIK,MAHARASTRA,9822006415,
West,100036,LUBE MARK - NASIK,Floor 8 WING AJANTHA MARKETNEW ADGO,Floor 8,422003,NASIK,MAHARASTRA,9822040022,lubemark007_nsk@rediffmail.com
West,100039,YASH LUBRICANTS,"1 Manak Complex, Opp Transport Naga",1,313001,UDAIPUR,RAJASTHAN,9414159201,yashlube@yahoo.co.in
West,100040,TURBO INDUSTRIES,"MARG 213,MARATHON MAX,JUNCTION OF L",MARG,400080,MUMBAI,MAHARASTRA,9967607021,turbopns@hotmail.com
West,100041,PRATIBHA AUTOMOBILES,"B 3/4 METRIX COMPLEX,B 3/4,3rd FLR",B 3/4,390015,VADODARA,GUJARAT,9879006061,pratibha_automobiles@yahoo.co.in
West,100042,LAXMI AUTO AGENCIES,"NA BAIJIPURA ROAD, VENKATESH NAGAR,",NA,431005,AURANGABAD,MAHARASTRA,9922444334,laxmiveedolaggencies@rediffmail.com
West,100043,INDIA AUTO AGENCY,"NA DHOBI TALAI, G.S. ROAD,",NA,334001,BIKANER,RAJASTHAN,9414136997,iiabkn@yahoo.co.in
West,100044,MARWAR OIL COMPANY,NA 12TH CHOPASANI ROAD,NA,342001,JODHPUR,RAJASTHAN,9829021630,salechar@yahoo.com
West,100045,UNITED OIL DISTRIBUTORS (G) PVT.LTD,NA SARKHEJ GNR. HIGH WAY JAYESH EST,NA,382210,AHMEDABAD,GUJARAT,9825224344,AHMEDABADDEPOT@TIDEWATERINDIA.CO.IN
West,100046,SHETH NAROTTAMDAS KARSANDAS,SNK SNK NA  DHAL ROAD JUNAGADH,SNK,362001,JUNAGADH,GUJARAT,9825759306,baliasons_shethnk@yahoo.co.in
West,100048,S.D.PATEL & CO.,MIRZAPUR CHANDRIKA CHEMBERS OPPOSIT,MIRZAPUR,380001,AHMEDABAD,GUJARAT,9825480203,
West,100066,LUBE DISTRIBUTING CO.PVT.LTD.,"B-1,19-20 OPP.IMEX THEATER, SION-E","B-1,19-20",400037,MUMBAI,MAHARASTRA,9594444234,raju@tidewaterindia.co.in
West,100066,LUBE DISTRIBUTING CO.PVT.LTD.,"B-1,19-20 OPP.IMEX THEATER, SION-E","B-1,19-20",400037,MUMBAI,MAHARASTRA,9594444234,raju@tidewaterindia.co.in
West,100095,ROYAL ENGINEERING COMPANY,"Shop No.2 HAJIBABA APARTMENT,Deepak",Shop No.2,444001,Akola,MAHARASTRA,9422861625,
West,100125,NAVTARANG AGENCY,NA PETH BHAG,NA,416416,SANGLI,MAHARASTRA,8080821008,NAVTARANGAGENCYVEEDOL@GMAIL.COM
West,100130,V.N.ENTERPRISES,"5 OPP AVDHOOT ASHRAM,TALUKA VASAI",5,401209,NALLASOPARA  EAST,MAHARASTRA,9967607022,vijayshetty.veedol@gmail.com
West,100135,BALAJI DISTRIBUTORS- KOLHAPUR,"1816, OPP. SHIROLI WATER TANK,NAVIN","1816,",416122,"SHIROLI,KOLHAPUR",MAHARASTRA,9326720775,dhananjay.sante@tidewaterindia.co.in
West,100135,BALAJI DISTRIBUTORS- KOLHAPUR,"1816, OPP. SHIROLI WATER TANK,NAVIN","1816,",416122,"SHIROLI,KOLHAPUR",MAHARASTRA,9326720775,dhananjay.sante@tidewaterindia.co.in
West,100145,LAXMI TRADERS,2 TRANSPORT NAGAR,2,302003,JAIPUR,RAJASTHAN,9829014090,ggupta719@gmail.com
West,100156,CHANDAK TRADING COMPANY,NA PLOT NO 199/204 VIJAPUR ROAD,NA,413004,SOLAPUR,MAHARASTRA,98227 50273,skchandak1971@rediffmail.com
West,100163,BALAJI ENTERPRISES,"NA BYE PASS ROAD, NATIONAL HIGHWAY",NA,306902,SUMERPUR,RAJASTHAN,9828435000,BALAJIENT@REDIFFMAIL.COM
West,200864,JAI KISAN AUTO & TRACTOR CENTR,"NA PUNA ROAD, SANGAMNER",NA,422605,AHMEDNAGAR,MAHARASTRA,9822811813,jaikisan@neteone.in
West,200865,RATAN-SEVA AUTOMOBILES PVT.LTD,"01, KHANDAK NALA MAIN ROAD ,KOPERGA","01,",423601,AHMEDNAGAR,MAHARASTRA,9822046231,pradeepmontala2005@rediffmail.com
